191,epitaph,/'??p??t??rf/ n.??,'??p??t??rf, n,??,,inscription on tombstone in memory
192,epithet,/'??p??????t/ n.??,'??p??????t, n,??,,word or phrase characteristically used to describe a person or thing
193,equable,/'??kw??b(??)l/ a. Syn. tranquil; uniform,'??kw??b(??)l, a, Syn, tranquil; uniform,tranquil; not varying; uniform; not easily disturbed
194,equanimity,/i:kw??'n??m??t??/ n.??,i:kw??'n??m??t??, n,??,,calmness of temperament; steadiness of mind under stress.
195,erratic,/??'r??t??k/ a. Syn. odd; unpredictable,??'r??t??k, a, Syn, odd; unpredictable,no fixed or regular course; wandering
196,erudite,/'??ru:da??t/ a. Syn. learned; scholarly,'??ru:da??t, a, Syn, learned; scholarly,"learned; scholarly, with emphasis on knowledge gained from books"
197,esoteric,/i:so??'t??r??k/ a. Syn. mysterious,i:so??'t??r??k, a, Syn, mysterious,hard to understand; known only in a particular group
198,exceptionable,/??k's??p??(??)n??b(??)l/ a.??,??k's??p??(??)n??b(??)l, a,??,,open or liable to objection or debate; liable to cause disapproval
199,exculpate,/'??ksk??lpe??t/ v.??,'??ksk??lpe??t, v,??,,pronounce not guilty of criminal charges
200,exemplary,/??g'z??mpl??r??/ a. Syn. modeled; ideal,??g'z??mpl??r??, a, Syn, modeled; ideal,serving as model; outstanding; typical
201,exodus,/'??ks??d??s/ n. Syn. departure,'??ks??d??s, n, Syn, departure,departure of a large number of people
202,exotic,/??g'z??t??k/ a. Syn. strange,??g'z??t??k, a, Syn, strange,from another part of the world; foreign; strikingly strange or unusual
203,expatriate,/??ks'p??tr????t/ n. Syn. exile,??ks'p??tr????t, n, Syn, exile,someone who has withdrawn from his native land
204,expedient,/??k'spi:d????nt/ a. Syn. suitable,??k'spi:d????nt, a, Syn, suitable,suitable; appropriate to a purpose; serving to promote your interest
205,exploit,/??k'spl????t/ v.??,??k'spl????t, v,??,,"make use of, sometimes unjustly"
